sound_id,category_audio,categories_use,recommended_noise,mix_ratio_layer1,mix_ratio_layer2,needs_review,source_note,TH_C_score,DN_S_score,SS_R_score,SM_F_score,HB_M_score,profile_score_note
ocean_meditation_joseph_beg,ocean,"meditation,relaxation,falling_asleep",none,0.85,0.15,false,[FROM_RESEARCH: Bible v3 ред 555 — Joseph Beg Ocean Meditation = electronic; valid за meditation use],7.0,6.6,8.6,8.8,7.8,TH_C=7.0[sp5.0/u8.2/n8/d9.0 neutral] | DN_S=6.6[sp5.0/u8.2/n6/d9.0 neutral] | SS_R=8.6[sp9.0/u8.2/n8/d9.0 +meditation] | SM_F=8.8[sp8.5/u9.0/n9/d9.0 +ocean] | HB_M=7.8[sp5.0/u9.8/n10/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_lap_waves_splashing_against_boat_large_hitting_sea_02,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: splashing+hitting = силни transients → не за sleep],7.5,5.4,6.2,8.0,6.7,TH_C=7.5[sp6.5/u7.5/n9/d9.0 neutral] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.2[sp6.0/u4.5/n8/d9.0 neutral] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=6.7[sp7.0/u6.8/n5/d9.0 +lap]
water_lap_waves_water_lapping_seafront_sea_close,ocean,"relaxation,falling_asleep,meditation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: lapping_close = периодичен медитативен звук],7.8,7.0,8.0,9.4,7.6,"TH_C=7.8[sp6.5/u8.2/n9/d9.0 neutral] | DN_S=7.0[sp5.0/u8.2/n8/d9.0 neutral] | SS_R=8.0[sp7.5/u8.2/n8/d9.0 neutral] | SM_F=9.4[sp10.0/u9.0/n9/d9.0 +wave,+lapping] | HB_M=7.6[sp7.0/u9.8/n5/d9.0 +lap] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_lap_waves_water_lapping_seafront_sea_semi_close,ocean,"falling_asleep,relaxation,meditation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: semi_close = по-distant от _close → по-spasen за заспиване],7.2,7.4,8.2,8.8,8.2,"TH_C=7.2[sp6.5/u8.2/n6/d9.0 neutral] | DN_S=7.4[sp5.0/u8.2/n10/d9.0 neutral] | SS_R=8.2[sp7.5/u8.2/n9/d9.0 neutral] | SM_F=8.8[sp10.0/u9.0/n6/d9.0 +wave,+lapping] | HB_M=8.2[sp7.0/u9.8/n8/d9.0 +lap] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_surf_beach_ocean_waves_sand_wind,ocean,"relaxation,daily",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: surf+wind = текстуриран фон],7.0,5.4,6.8,8.8,6.5,"TH_C=7.0[sp5.0/u7.5/n9/d9.0 neutral] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.8[sp7.5/u4.5/n8/d9.0 neutral] | SM_F=8.8[sp9.5/u7.5/n9/d9.0 +wave,+ocean] | HB_M=6.5[sp6.5/u6.8/n5/d9.0 neutral]"
water_surf_beach_waves_coming_in_occasional_birds_atlantic_ocean_caribbean_sea,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: occasional_birds = разпръснати transients → не sleep],6.8,5.4,6.8,8.8,5.9,"TH_C=6.8[sp4.5/u7.5/n9/d9.0 neutral] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.8[sp7.5/u4.5/n8/d9.0 neutral] | SM_F=8.8[sp9.5/u7.5/n9/d9.0 +wave,+ocean] | HB_M=5.9[sp5.0/u6.8/n5/d9.0 neutral]"
water_surf_distant_calm_sea_waves_few_distant_birds,ocean,"sleep_deep,falling_asleep,anxiety",brown_lowpass_500,0.30,0.70,false,[FROM_FILENAME_INFERENCE: distant+calm+few_distant_birds = всичко далечно → sleep_deep] | [ADDED anxiety §2.1: distant+calm — FROM_RESEARCH: въпросник ред 734 calming_ocean_waves за SS_R; mix→0.30/0.70 noise dominant за SOS],6.5,8.3,9.4,6.7,8.5,"TH_C=6.5[sp7.0/u5.2/n6/d9.0 neutral] | DN_S=8.3[sp6.0/u10.0/n10/d9.0 neutral] | SS_R=9.4[sp10.0/u9.0/n9/d9.0 +calm,+distant] | SM_F=6.7[sp7.5/u5.2/n6/d9.0 +wave] | HB_M=8.5[sp10.0/u6.8/n8/d9.0 +distant,+calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_surf_water_ocean_seashore_waves_roar_distant_llandudno_cape_town_south_africa,ocean,"relaxation,daily",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: waves_roar_distant = силни но distant вълни],6.8,5.8,6.8,8.8,6.1,"TH_C=6.8[sp4.5/u7.5/n9/d9.0 neutral] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=6.8[sp7.5/u4.5/n8/d9.0 +distant,-roar] | SM_F=8.8[sp9.5/u7.5/n9/d9.0 +wave,+ocean] | HB_M=6.1[sp5.5/u6.8/n5/d9.0 +distant,-roar]"
water_surf_waves_bay_calm_waves_rocks_wash_evening_mediterranean_sea_selmun_bay_malta,ocean,"falling_asleep,relaxation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: calm+evening+rocks_wash = мек evening seascape],6.5,6.9,7.9,6.9,7.8,TH_C=6.5[sp6.5/u6.0/n6/d9.0 neutral] | DN_S=6.9[sp5.0/u6.8/n10/d9.0 neutral] | SS_R=7.9[sp9.0/u5.2/n9/d9.0 +calm] | SM_F=6.9[sp7.5/u6.0/n6/d9.0 +wave] | HB_M=7.8[sp7.5/u7.5/n8/d9.0 +calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_surf_waves_bay_calm_waves_rocks_wash_evening_mediterranean_sea_selmun_bay_malta_01,ocean,"falling_asleep,relaxation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of selmun_bay_malta],6.5,6.9,7.9,6.9,7.8,TH_C=6.5[sp6.5/u6.0/n6/d9.0 neutral] | DN_S=6.9[sp5.0/u6.8/n10/d9.0 neutral] | SS_R=7.9[sp9.0/u5.2/n9/d9.0 +calm] | SM_F=6.9[sp7.5/u6.0/n6/d9.0 +wave] | HB_M=7.8[sp7.5/u7.5/n8/d9.0 +calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_surf_waves_ocean_distant_on_beach_distant_boat_motor_03,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: distant_boat_motor = low-frequency hum → не за sleep_deep],7.3,5.8,7.8,8.8,6.9,"TH_C=7.3[sp6.0/u7.5/n9/d9.0 neutral] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=7.8[sp10.0/u4.5/n8/d9.0 +distant] | SM_F=8.8[sp9.5/u7.5/n9/d9.0 +wave,+ocean] | HB_M=6.9[sp7.5/u6.8/n5/d9.0 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_underwater_deep_sea_bubbles_muffled_big_02,ocean,"sleep_deep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: deep_sea+muffled = низкочестотно → pink_lowpass_4000 балансира],5.4,7.9,4.7,5.7,4.5,TH_C=5.4[sp3.5/u3.8/n10/d9.0 neutral] | DN_S=7.9[sp10.0/u6.0/n6/d9.0 +deep] | SS_R=4.7[sp3.0/u4.5/n6/d9.0 -big] | SM_F=5.7[sp5.0/u4.5/n7/d9.0 neutral] | HB_M=4.5[sp2.5/u4.5/n6/d9.0 -big]
water_underwater_ocean_bubbles_water_movement_lapping_argentina_02,ocean,"relaxation,meditation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: underwater_bubbles+lapping = вода под повърхност],8.0,7.2,7.8,8.8,7.8,"TH_C=8.0[sp6.5/u8.2/n10/d9.0 neutral] | DN_S=7.2[sp6.5/u8.2/n6/d9.0 neutral] | SS_R=7.8[sp8.0/u8.2/n6/d9.0 neutral] | SM_F=8.8[sp9.5/u9.0/n7/d9.0 +lapping,+ocean] | HB_M=7.8[sp7.0/u9.8/n6/d9.0 +lap] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_wave_ocean_beach_waves_medium_lapping,ocean,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium+lapping = средно периодични меки вълни],7.5,6.5,7.7,8.5,7.0,"TH_C=7.5[sp7.5/u6.0/n9/d9.0 neutral] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=7.7[sp9.0/u5.2/n8/d9.0 neutral] | SM_F=8.5[sp10.0/u6.0/n9/d9.0 +wave,+lapping] | HB_M=7.0[sp7.0/u7.5/n5/d9.0 +lap] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_wave_ocean_medium_waves_coming_in_close_03,ocean,"relaxation,daily",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium+close = умерени близки вълни],7.3,5.4,6.8,8.9,5.9,"TH_C=7.3[sp6.0/u7.5/n9/d9.0 neutral] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.8[sp7.5/u4.5/n8/d9.0 neutral] | SM_F=8.9[sp10.0/u7.5/n9/d9.0 +wave,+ocean] | HB_M=5.9[sp5.0/u6.8/n5/d9.0 neutral]"
water_wave_ocean_waves_medium_on_stone_sea_wall_boats_harbor_in_background,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: boats_harbor_background = urban port → daily],7.3,5.4,6.8,8.9,5.9,"TH_C=7.3[sp6.0/u7.5/n9/d9.0 neutral] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.8[sp7.5/u4.5/n8/d9.0 neutral] | SM_F=8.9[sp10.0/u7.5/n9/d9.0 +wave,+ocean] | HB_M=5.9[sp5.0/u6.8/n5/d9.0 neutral]"
water_wave_ocean_waves_on_shore_beach_medium_distant,ocean,"falling_asleep,relaxation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium_distant = mid-volume но дистанцирано],6.7,7.3,8.3,7.9,7.8,"TH_C=6.7[sp7.0/u6.0/n6/d9.0 neutral] | DN_S=7.3[sp6.0/u6.8/n10/d9.0 neutral] | SS_R=8.3[sp10.0/u5.2/n9/d9.0 +distant] | SM_F=7.9[sp10.0/u6.0/n6/d9.0 +wave,+ocean] | HB_M=7.8[sp7.5/u7.5/n8/d9.0 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_wave_ocean_wave_swells,ocean,"meditation,relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: swells = дълги периодични вълни → meditation-friendly],7.2,7.0,8.0,9.4,6.8,"TH_C=7.2[sp5.0/u8.2/n9/d9.0 neutral] | DN_S=7.0[sp5.0/u8.2/n8/d9.0 neutral] | SS_R=8.0[sp7.5/u8.2/n8/d9.0 neutral] | SM_F=9.4[sp10.0/u9.0/n9/d9.0 +wave,+swell] | HB_M=6.8[sp5.0/u9.8/n5/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_wave_sea_beach_cove_100m_away_distance_moderate_waves_distant_plane_birds,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: plane+birds = transients присъстват → не за sleep],7.2,5.2,7.2,8.0,6.9,TH_C=7.2[sp5.5/u7.5/n9/d9.0 neutral] | DN_S=5.2[sp4.5/u3.0/n8/d9.0 neutral] | SS_R=7.2[sp8.5/u4.5/n8/d9.0 +distant] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=6.9[sp7.5/u6.8/n5/d9.0 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_wave_sea_beach_cove_50m_distance_moderate_waves_ms,ocean,"relaxation,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: 50m+moderate = умерено разстояние без spomenani transients],5.9,6.9,6.7,6.9,6.8,TH_C=5.9[sp5.0/u6.0/n6/d9.0 neutral] | DN_S=6.9[sp5.0/u6.8/n10/d9.0 neutral] | SS_R=6.7[sp6.0/u5.2/n9/d9.0 neutral] | SM_F=6.9[sp7.5/u6.0/n6/d9.0 +wave] | HB_M=6.8[sp5.0/u7.5/n8/d9.0 neutral]
water_wave_sea_light_wind_waves_intensifies,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: intensifies = нарастваща интензивност → НЕ за sleep],7.3,4.6,6.7,8.2,6.9,TH_C=7.3[sp6.5/u7.5/n9/d7.0 neutral] | DN_S=4.6[sp3.5/u3.0/n8/d7.0 neutral] | SS_R=6.7[sp7.5/u4.5/n8/d7.0 neutral] | SM_F=8.2[sp8.5/u7.5/n9/d7.0 +wave] | HB_M=6.9[sp8.0/u6.8/n5/d7.0 +light]
water_wave_sea_water_very_gentle_waves,ocean,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: very_gentle = идеално за sleep],6.0,7.6,7.2,6.2,7.5,TH_C=6.0[sp6.5/u4.5/n6/d9.0 neutral] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=7.2[sp8.5/u3.8/n9/d9.0 +gentle] | SM_F=6.2[sp7.5/u3.8/n6/d9.0 +wave] | HB_M=7.5[sp8.0/u6.0/n8/d9.0 +gentle] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_wave_waves_sea_beach_punta_allen_sian_ka_an_biosphere_reserve_mexico,ocean,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: biosphere_reserve = природа без urbanism],6.5,6.5,6.5,7.5,6.2,TH_C=6.5[sp5.0/u6.0/n9/d9.0 neutral] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.5[sp7.5/u6.0/n9/d9.0 +wave] | HB_M=6.2[sp5.0/u7.5/n5/d9.0 neutral]
wind_general_calm_mountain_sea_distant_waves_01,ocean,"sleep_deep,falling_asleep,meditation,anxiety",brown_lowpass_500,0.30,0.70,false,[FROM_FILENAME_INFERENCE: calm+mountain+distant_waves = чиста природа отдалече] | [ADDED anxiety §2.1: distant+calm — FROM_RESEARCH: въпросник ред 734 calming_ocean_waves за SS_R; mix→0.30/0.70 noise dominant за SOS],7.8,8.9,9.7,7.6,9.2,"TH_C=7.8[sp8.5/u7.5/n6/d9.0 neutral] | DN_S=8.9[sp7.5/u10.0/n10/d9.0 neutral] | SS_R=9.7[sp10.0/u10.0/n9/d9.0 +calm,+distant] | SM_F=7.6[sp7.5/u8.2/n6/d9.0 +wave] | HB_M=9.2[sp10.0/u9.0/n8/d9.0 +distant,+calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
wind_general_calm_mountain_sea_distant_waves_02,ocean,"sleep_deep,falling_asleep,meditation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.5,8.9,8.7,7.1,9.0,"TH_C=7.5[sp8.5/u6.8/n6/d9.0 neutral] | DN_S=8.9[sp7.5/u10.0/n10/d9.0 neutral] | SS_R=8.7[sp10.0/u6.8/n9/d9.0 +calm,+distant] | SM_F=7.1[sp7.5/u6.8/n6/d9.0 +wave] | HB_M=9.0[sp10.0/u8.2/n8/d9.0 +distant,+calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
wind_general_calm_mountain_sea_distant_waves_03,ocean,"sleep_deep,falling_asleep,meditation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.5,8.9,8.7,7.1,9.0,"TH_C=7.5[sp8.5/u6.8/n6/d9.0 neutral] | DN_S=8.9[sp7.5/u10.0/n10/d9.0 neutral] | SS_R=8.7[sp10.0/u6.8/n9/d9.0 +calm,+distant] | SM_F=7.1[sp7.5/u6.8/n6/d9.0 +wave] | HB_M=9.0[sp10.0/u8.2/n8/d9.0 +distant,+calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
ambience_forest_ukraine_morning_birds_nature_trees_calm_breeze_wildlife,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: morning_birds+wildlife = bright transients → daily; всъщност НЕ е rain въпреки папката],8.9,5.4,7.8,7.5,7.9,"TH_C=8.9[sp10.0/u7.5/n9/d9.0 +rain] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=7.8[sp10.0/u4.5/n8/d9.0 +calm] | SM_F=7.5[sp6.5/u7.5/n9/d9.0 neutral] | HB_M=7.9[sp10.0/u6.8/n5/d9.0 +calm,+breeze] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
ambience_swamp_wetland_after_rain_water_dripping_humid_distant_fowl,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: after_rain+fowl = птици след дъжд → daily],8.3,5.8,7.2,7.0,7.5,TH_C=8.3[sp8.5/u7.5/n9/d9.0 +rain] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=7.2[sp8.5/u4.5/n8/d9.0 +distant] | SM_F=7.0[sp5.0/u7.5/n9/d9.0 neutral] | HB_M=7.5[sp9.0/u6.8/n5/d9.0 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
ambience_tropical_rain_texture_medium,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: tropical_rain+medium+texture = равномерен релакс звук],7.9,6.5,6.5,7.1,6.8,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
ambience_underwater_grainy_bubbles_small_deep_fizz,rain,"meditation,relaxation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: underwater+grainy+deep_fizz = текстуриран deep звук],8.4,8.4,7.0,7.0,7.6,TH_C=8.4[sp7.5/u8.2/n10/d9.0 +rain] | DN_S=8.4[sp9.5/u8.2/n6/d9.0 +deep] | SS_R=7.0[sp6.0/u8.2/n6/d9.0 neutral] | SM_F=7.0[sp5.0/u9.0/n7/d9.0 neutral] | HB_M=7.6[sp6.5/u9.8/n6/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
rain_attic_01,rain,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on attic = muffled distant → sleep_deep],6.5,7.6,6.2,5.2,6.9,TH_C=6.5[sp7.5/u4.5/n6/d9.0 +rain] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=6.2[sp6.0/u3.8/n9/d9.0 neutral] | SM_F=5.2[sp5.0/u3.8/n6/d9.0 neutral] | HB_M=6.9[sp6.5/u6.0/n8/d9.0 neutral]
rain_cloth_raining_umbrella_01,rain,"falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on cloth_umbrella = мек texture],7.5,6.5,6.5,6.5,6.8,TH_C=7.5[sp7.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=6.5[sp5.0/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
